   0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1
0  h h h h h h h h h h h h h h h h h h h h h h 
1  h h h h h h h h h h h h h h h h h h h h h h 
2  h h h h h h h h h h h h h h h h h h h h h h 
3  h h h h h h h h h h h h h h h h h h h h h h 
4  h h h h h h h h h h h h h h h h h h h h h h 
5  h h h h h h h h h h h h h h h h h h h h h h 
6  h h h h h h h h h h h h h h h h h h h h h h 
7  h h h h h h h h h h h h h h h h h h h h h h 
8  h h h h h h h h h h h h h h h h h h h h h h 
9  h h h h h h h h h h h h h h h h h h h h h h 
10 h h h h h h h h h h h h h h h h h h h h h h 
11 h h h h h h h h h h h h h h h h h h h h h h 
12 h h h h h h h h h h h h h h h h h h h h h h 
13 h h h h h h h h h h h h h h h h h h h h h h 
14 h h h h h h h h h h h h h h h h h h h h h h 
15 h h h h h h h h h h h h h h h h h h h h h h 
16 s s s s s s s s s s s s s s s s s h h h h h 
17 s s s s s s s s s s s s s s s s s s h h h h 
18 s s s s s s s s s s s s s s s s s s s h h h 
19 s s s s s s s s s s s s s s s s s s s s h h 
20 s s s s s s s s s s s s s s s s s s s s s h 
21 s s s s s s s s s s s s s s s s s s s s s h 
