s,a,r,sp
182,1,-1,0
0,0,-10,2
171,0,-1,1
1,1,10,2
173,1,0,0
0,1,-10,2
177,0,0,0
0,0,-10,2
133,0,-1,0
0,1,-10,2
117,0,-1,1
1,0,10,2
60,0,-1,1
1,0,10,2
109,1,-1,0
0,1,-10,2
153,0,-1,1
1,0,10,2
158,0,0,0
0,1,-10,2
124,0,1,1
1,0,10,2
74,1,-1,0
0,1,-10,2
122,1,0,0
0,1,-10,2
55,0,1,1
1,1,10,2
142,0,1,0
0,0,-10,2
102,1,0,0
0,1,-10,2
175,0,0,0
0,0,-10,2
67,1,0,0
0,0,-10,2
80,0,-1,1
1,0,10,2
36,0,1,0
0,1,-10,2
55,0,1,1
1,0,10,2
143,1,-1,0
0,1,-10,2
34,0,1,0
0,0,-10,2
53,0,1,0
0,1,-10,2
54,0,1,1
1,0,10,2
182,1,-1,0
0,0,-10,2
38,0,1,1
1,0,10,2
178,1,-1,0
0,1,-10,2
134,0,-1,1
1,1,10,2
163,0,1,0
0,1,-10,2
34,1,-1,0
0,1,-10,2
124,0,1,0
0,0,-10,2
172,0,-1,0
0,1,-10,2
105,0,0,0
0,0,-10,2
19,1,-1,0
0,0,-10,2
181,0,1,1
1,1,10,2
83,1,0,0
0,1,-10,2
36,1,-1,0
0,1,-10,2
174,0,0,0
0,0,-10,2
176,0,0,0
0,1,-10,2
79,0,-1,0
0,1,-10,2
159,1,0,0
0,0,-10,2
142,1,-1,0
0,1,-10,2
85,0,0,0
0,0,-10,2
181,0,1,1
1,1,10,2
176,0,0,0
0,0,-10,2
87,1,0,0
0,1,-10,2
158,0,0,0
0,1,-10,2
17,1,-1,0
0,0,-10,2
137,0,0,0
0,0,-10,2
89,0,1,0
0,1,-10,2
177,0,0,0
0,0,-10,2
174,0,0,1
1,1,10,2
179,0,1,0
0,0,-10,2
9,0,-1,0
0,0,-10,2
177,0,0,0
0,0,-10,2
173,0,0,0
0,0,-10,2
91,0,1,1
1,1,10,2
146,0,1,1
1,1,10,2
176,1,0,0
0,1,-10,2
105,1,0,0
0,0,-10,2
23,0,-1,1
1,0,10,2
137,1,0,0
0,0,-10,2
155,1,0,0
0,1,-10,2
68,0,0,0
0,1,-10,2
174,0,0,1
1,0,10,2
178,0,1,1
1,1,10,2
154,0,-1,0
0,1,-10,2
175,0,0,0
0,0,-10,2
174,0,0,0
0,1,-10,2
175,0,0,0
0,0,-10,2
173,0,0,0
0,0,-10,2
180,1,-1,0
0,1,-10,2
175,0,0,0
